name,lat,lng,country_id,place_type_id
A'ali an Nil,9.530000978,31.65499829,187,2
Aargau,47.39000401,8.034003439,200,2
Abengourou,6.726996066,-3.490001558,50,2
Abia,5.532002985,7.486002316,149,2
Abidjan,5.32485898,-4.021892681,50,2
Abkhazia,43.00700398,40.98899734,76,2
Aboisso,5.466698996,-3.200003691,50,2
Abruzzi,42.35943597,13.41081029,101,2
Abu Zaby,24.476004,54.37099841,218,2
Abuja Capital Territory (Abuja),9.057266953,7.2563853,149,2
Aceh,5.566662048,95.33333733,95,2
Acre,-9.979001961,-67.8120027,27,2
Ad Daqahliyah,31.03900202,31.38000333,60,2
Ad Dawhah,25.28435693,51.53233541,167,2
Adamawa,9.239003921,12.46500035,149,2
Adamoua,7.32400203,13.58399737,34,2
Adana,36.99999895,35.32400136,212,2
Aden,12.76624807,45.04149936,229,2
Adiyaman,37.76499896,38.27899838,212,2
Adrar,27.86799604,-0.2899977073,3,2
Adrar,20.51099998,-13.04999966,127,2
Adzope,6.098003931,-3.863996613,50,2
Aegean Islands,38.37300297,26.13899734,80,2
Afyon,38.76399899,30.53999736,212,2
Agadez,16.99399794,7.983000382,148,2
Agboville,5.927004039,-4.221998666,50,2
Aginskiy Buryatskiy avtonomnyy okrug,51.16699807,114.5330013,170,2
Agnibilekrou,7.12800004,-3.202001575,50,2
Agri,39.72400196,43.06200336,212,2
Aguascalientes,21.88799993,-102.2900036,130,2
Ahuachapan,13.91900393,-89.84500163,61,2
Ahvenanmaa,60.09699608,19.94900429,69,2
Aisen del General Carlos Ibanez del Campo,-45.40200293,-72.70199965,40,2
Ajaria,41.63332495,41.63332534,76,2
Ajdabiya,30.76000203,20.22399941,116,2
Ajman,25.40285994,55.44108939,218,2
Akershus,59.91348595,11.34723634,154,2
Aktyubinsk,50.27100302,57.23100037,106,2
Akwa Ibom,5.007996,7.849998352,149,2
Al Ahmadi,29.09699998,48.06800137,109,2
Al Anbar,33.43200296,43.31199638,97,2
Al Bahr al Ahmar,27.23329803,33.83330437,60,2
Al Balqa',32.04299701,35.72299835,105,2
Al Basrah,30.50349293,47.76086734,97,2
Al Bayda',13.97899804,45.57400244,229,2
Al Biqa',33.84299702,35.91900034,113,2
Al Buhayrah,31.03000203,30.47200244,60,2
Al Fayyum,29.31666299,30.83333435,60,2
Al Fujayrah,25.11900003,56.34999929,218,2
Al Gharbiyah,30.77900105,30.99600032,60,2
Al Hasakah,36.49300203,40.76700333,201,2
Al Hudaydah,14.79500094,42.94600229,229,2
Al Hudud ash Shamaliyah,30.98330105,41.03330443,175,2
Al Iskandariyah,31.20449395,29.90510143,60,2
Al Isma'iliyah,30.58900198,32.26599937,60,2
Al Jahrah,29.33199902,47.69600437,109,2
Al Jawf,29.99999698,40.13330434,175,2
Al Jizah,30.05151304,31.22095533,60,2
Al Kaf,36.16669804,8.666703401,211,2
Al Karak,31.17999592,35.70300031,105,2
Al Khartum,15.58500297,32.50499889,195,2
Al Khums,32.65030797,14.26997728,116,2
Al Kuwayt,29.38591807,47.9740414,109,2
Al Ladhiqiyah,35.52100199,35.79200139,201,2
Al Madinah,24.42999607,39.69999944,175,2
Al Mafraq,32.28329699,36.23329832,105,2
Al Mahdiyah,35.48391296,11.04087644,211,2
Al Manamah,26.21666704,50.58333942,15,2
Al Minufiyah,30.59199905,30.89999729,60,2
Al Minya,28.08899996,30.7590034,60,2
Al Muharraq,26.26199996,50.61600043,15,2
Al Munastir,35.73070205,10.76729439,211,2
Al Muthanna,31.314996,45.28199742,97,2
Al Qadisiyah,31.98699899,44.92800041,97,2
Al Qahirah,30.07791,31.25079932,60,2
Al Qalyubiyah,30.46666504,31.18333544,60,2
Al Qasim,26.33329793,44.13330038,175,2
Al Qasrayn,35.21670302,8.716698331,211,2
Al Qayrawan,35.70000301,10.01670337,211,2
Al Qunaytirah,33.12000007,35.8250043,201,2
Al Qurayyat,31.33330197,37.33329634,175,2
